Время;Имя узла;IP адрес;CPU (%);RAM (%);Disk (%)
15:55:33;MacBook-Agent;127.0.0.1;18.8;70.4;46.5
15:55:36;MacBook-Agent;127.0.0.1;8.3;69.2;46.5
15:55:39;MacBook-Agent;127.0.0.1;11.3;69.1;46.5
15:55:42;MacBook-Agent;127.0.0.1;9.2;68.8;46.5
15:55:45;MacBook-Agent;127.0.0.1;11.9;70.4;46.5
15:55:48;MacBook-Agent;127.0.0.1;9.3;69.8;46.5
15:55:51;MacBook-Agent;127.0.0.1;19.1;70.4;46.5
15:55:54;MacBook-Agent;127.0.0.1;7.5;69.1;46.5
15:55:57;MacBook-Agent;127.0.0.1;18.0;69.9;46.5
15:56:00;MacBook-Agent;127.0.0.1;9.8;70.0;46.5
15:56:04;MacBook-Agent;127.0.0.1;7.9;70.0;46.5
15:56:07;MacBook-Agent;127.0.0.1;6.4;69.9;46.5
15:56:10;MacBook-Agent;127.0.0.1;8.7;69.6;46.5
15:56:13;MacBook-Agent;127.0.0.1;5.9;69.6;46.5
15:56:16;MacBook-Agent;127.0.0.1;8.4;69.6;46.5
15:56:19;MacBook-Agent;127.0.0.1;7.2;69.6;46.5
15:56:22;MacBook-Agent;127.0.0.1;5.6;69.6;46.5
15:56:25;MacBook-Agent;127.0.0.1;5.8;69.7;46.5
15:56:28;MacBook-Agent;127.0.0.1;19.2;69.7;46.5
15:56:31;MacBook-Agent;127.0.0.1;6.5;69.6;46.5
15:56:34;MacBook-Agent;127.0.0.1;8.9;69.8;46.5
15:56:37;MacBook-Agent;127.0.0.1;6.7;69.5;46.5
15:56:40;MacBook-Agent;127.0.0.1;7.2;69.5;46.5
15:56:43;MacBook-Agent;127.0.0.1;4.3;69.5;46.5
15:56:46;MacBook-Agent;127.0.0.1;5.1;69.4;46.5
15:56:49;MacBook-Agent;127.0.0.1;7.4;69.1;46.5
15:56:52;MacBook-Agent;127.0.0.1;4.6;69.1;46.5
15:56:55;MacBook-Agent;127.0.0.1;4.6;69.1;46.5
15:56:58;MacBook-Agent;127.0.0.1;10.8;69.1;46.5
15:57:01;MacBook-Agent;127.0.0.1;4.2;69.2;46.5
15:57:04;MacBook-Agent;127.0.0.1;6.7;69.7;46.5
15:57:07;MacBook-Agent;127.0.0.1;4.9;69.5;46.5
15:57:10;MacBook-Agent;127.0.0.1;4.3;69.3;46.5
15:57:13;MacBook-Agent;127.0.0.1;4.3;69.3;46.5
15:57:16;MacBook-Agent;127.0.0.1;10.7;69.6;46.5
15:57:19;MacBook-Agent;127.0.0.1;8.9;70.0;46.5
15:57:22;MacBook-Agent;127.0.0.1;7.6;69.7;46.5
15:57:25;MacBook-Agent;127.0.0.1;11.3;70.7;46.5
15:57:28;MacBook-Agent;127.0.0.1;21.0;70.9;46.5
15:57:31;MacBook-Agent;127.0.0.1;5.4;69.7;46.5
15:57:34;MacBook-Agent;127.0.0.1;9.9;69.1;46.5
15:57:37;MacBook-Agent;127.0.0.1;5.2;69.0;46.5
15:57:40;MacBook-Agent;127.0.0.1;4.2;68.8;46.5
15:57:43;MacBook-Agent;127.0.0.1;4.2;68.8;46.5
15:57:46;MacBook-Agent;127.0.0.1;12.5;70.2;46.5
15:57:49;MacBook-Agent;127.0.0.1;8.3;70.1;46.5
15:57:52;MacBook-Agent;127.0.0.1;13.7;70.9;46.5
15:57:55;MacBook-Agent;127.0.0.1;9.7;70.0;46.5
15:57:58;MacBook-Agent;127.0.0.1;11.2;70.2;46.5
15:58:01;MacBook-Agent;127.0.0.1;8.8;70.2;46.5
15:58:04;MacBook-Agent;127.0.0.1;8.3;70.2;46.5
15:58:07;MacBook-Agent;127.0.0.1;7.3;70.1;46.5
15:58:10;MacBook-Agent;127.0.0.1;5.5;70.0;46.5
15:58:13;MacBook-Agent;127.0.0.1;9.8;70.2;46.5
15:58:16;MacBook-Agent;127.0.0.1;9.6;69.9;46.5
15:58:19;MacBook-Agent;127.0.0.1;13.7;70.3;46.5
